neighborhood,url_of_map,include_expansion_question
NE 130th St,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_NE_130th_St.pdf,TRUE
23rd + Union-Jackson,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_23rd_Union_Jackson.pdf,TRUE
Admiral,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Admiral.pdf,FALSE
Aurora-Licton Springs,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Aurora_Licton_Springs.pdf,FALSE
Ballard,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Ballard.pdf,FALSE
Bitter Lake,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Bitter_Lake.pdf,FALSE
Columbia City,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Columbia_City.pdf,TRUE
Crown Hill,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Crown_Hill.pdf,TRUE
Eastlake,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Eastlake.pdf,FALSE
First Hill-Capitol Hill,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_First_Hill_Capitol_Hill.pdf,FALSE
Fremont,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Fremont.pdf,FALSE
Green Lake / Roosevelt,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Green_Lake_Roosevelt.pdf,TRUE
Greenwood-Phinney Ridge,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Greenwood_Phinney_Ridge.pdf,FALSE
Lake City,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Lake_City.pdf,FALSE
Madison-Miller,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Madison_Miller.pdf,FALSE
Morgan Junction,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Morgan_Junction.pdf,FALSE
North Beacon Hill,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_North_Beacon_Hill.pdf,TRUE
North Rainier,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_North_Rainier.pdf,TRUE
Northgate,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Northgate.pdf,FALSE
Othello,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Othello.pdf,TRUE
Rainier Beach,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Rainier_Beach.pdf,TRUE
South Park,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_South_Park.pdf,FALSE
Upper Queen Anne,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Upper_Queen_Anne.pdf,FALSE
Wallingford,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Wallingford.pdf,FALSE
West Seattle Junction,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_West_Seattle_Junction.pdf,TRUE
Westwood-Highland Park,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Westwood_Highland_Park.pdf,FALSE
