cluster,topic,url,description,user
Alignment with Mandatory Housing Affordability principles,"In general, the draft zoning changes for 23rd + Union-Jackson accurately reflects the Principles to Guide MHA Implementation.",23rd_+_union-jackson--In-general-the-draft-zoning-changes-for-23rd-+-Union-Jackson-accurately-reflects-the-Princ,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_23rd_Union_Jackson.pdf,jesseca.brand@seattle.gov
Commercial Areas,The location and placement of the commercial zones is reasonable and appropriate as a way to implement MHA in 23rd + Union-Jackson.,23rd_+_union-jackson--The-location-and-placement-of-the-commercial-zones-is-reasonable-and-appropriate-as-a-way-t,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_23rd_Union_Jackson.pdf,jesseca.brand@seattle.gov
Commercial Areas,The height and scale that would be allowed by the draft zoning for commercial areas is reasonable and appropriate as a way to implement MHA in 23rd + Union-Jackson.,23rd_+_union-jackson--The-height-and-scale-that-would-be-allowed-by-the-draft-zoning-for-commercial-areas-is-reas,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_23rd_Union_Jackson.pdf,jesseca.brand@seattle.gov
Multi-family Residential Areas,The location and placement of the multi-family zones is reasonable and appropriate as a way to implement MHA in 23rd + Union-Jackson.,23rd_+_union-jackson--The-location-and-placement-of-the-multi-family-zones-is-reasonable-and-appropriate-as-a-way,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_23rd_Union_Jackson.pdf,jesseca.brand@seattle.gov
Multi-family Residential Areas,The height and scale that would be allowed by the draft zoning for multi-family areas is reasonable and appropriate as a way to implement MHA in 23rd + Union-Jackson.,23rd_+_union-jackson--The-height-and-scale-that-would-be-allowed-by-the-draft-zoning-for-multi-family-areas-is-re,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_23rd_Union_Jackson.pdf,jesseca.brand@seattle.gov
Single Family Rezone Areas,The Residential Small Lot (RSL) zone is in appropriate places to implement MHA in 23rd + Union-Jackson while maintaining scale and character of single family areas.,23rd_+_union-jackson--The-Residential-Small-Lot-RSL-zone-is-in-appropriate-places-to-implement-MHA-in-23rd-+-Un,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_23rd_Union_Jackson.pdf,jesseca.brand@seattle.gov
Single Family Rezone Areas,Places where Single Family is changed to Lowrise (LR) in 23rd + Union-Jackson are appropriate to allow multi-family housing.,23rd_+_union-jackson--Places-where-Single-Family-is-changed-to-Lowrise-LR-in-23rd-+-Union-Jackson-are-appropria,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_23rd_Union_Jackson.pdf,jesseca.brand@seattle.gov
Urban Village Expansions,The draft urban village boundary is appropriate for the 23rd + Union-Jackson area taking into account local factors and features.,23rd_+_union-jackson--The-draft-urban-village-boundary-is-appropriate-for-the-23rd-+-Union-Jackson-area-taking-in,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_23rd_Union_Jackson.pdf,jesseca.brand@seattle.gov
Alignment with Mandatory Housing Affordability principles,"In general, the draft zoning changes for Admiral accurately reflects the Principles to Guide MHA Implementation.",admiral--In-general-the-draft-zoning-changes-for-Admiral-accurately-reflects-the-Principles-to-Guid,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Admiral.pdf,jesseca.brand@seattle.gov
Commercial Areas,The location and placement of the commercial zones is reasonable and appropriate as a way to implement MHA in Admiral.,admiral--The-location-and-placement-of-the-commercial-zones-is-reasonable-and-appropriate-as-a-way-t,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Admiral.pdf,jesseca.brand@seattle.gov
Commercial Areas,The height and scale that would be allowed by the draft zoning for commercial areas is reasonable and appropriate as a way to implement MHA in Admiral.,admiral--The-height-and-scale-that-would-be-allowed-by-the-draft-zoning-for-commercial-areas-is-reas,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Admiral.pdf,jesseca.brand@seattle.gov
Multi-family Residential Areas,The location and placement of the multi-family zones is reasonable and appropriate as a way to implement MHA in Admiral.,admiral--The-location-and-placement-of-the-multi-family-zones-is-reasonable-and-appropriate-as-a-way,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Admiral.pdf,jesseca.brand@seattle.gov
Multi-family Residential Areas,The height and scale that would be allowed by the draft zoning for multi-family areas is reasonable and appropriate as a way to implement MHA in Admiral.,admiral--The-height-and-scale-that-would-be-allowed-by-the-draft-zoning-for-multi-family-areas-is-re,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Admiral.pdf,jesseca.brand@seattle.gov
Single Family Rezone Areas,The Residential Small Lot (RSL) zone is in appropriate places to implement MHA in Admiral while maintaining scale and character of single family areas.,admiral--The-Residential-Small-Lot-RSL-zone-is-in-appropriate-places-to-implement-MHA-in-Admiral-w,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Admiral.pdf,jesseca.brand@seattle.gov
Single Family Rezone Areas,Places where Single Family is changed to Lowrise (LR) in Admiral are appropriate to allow multi-family housing.,admiral--Places-where-Single-Family-is-changed-to-Lowrise-LR-in-Admiral-are-appropriate-to-allow-m,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Admiral.pdf,jesseca.brand@seattle.gov
Alignment with Mandatory Housing Affordability principles,"In general, the draft zoning changes for Aurora-Licton Springs accurately reflects the Principles to Guide MHA Implementation.",aurora-licton_springs--In-general-the-draft-zoning-changes-for-Aurora-Licton-Springs-accurately-reflects-the-Prin,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Aurora_Licton_Springs.pdf,jesseca.brand@seattle.gov
Commercial Areas,The location and placement of the commercial zones is reasonable and appropriate as a way to implement MHA in Aurora-Licton Springs.,aurora-licton_springs--The-location-and-placement-of-the-commercial-zones-is-reasonable-and-appropriate-as-a-way-t,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Aurora_Licton_Springs.pdf,jesseca.brand@seattle.gov
Commercial Areas,The height and scale that would be allowed by the draft zoning for commercial areas is reasonable and appropriate as a way to implement MHA in Aurora-Licton Springs.,aurora-licton_springs--The-height-and-scale-that-would-be-allowed-by-the-draft-zoning-for-commercial-areas-is-reas,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Aurora_Licton_Springs.pdf,jesseca.brand@seattle.gov
Multi-family Residential Areas,The location and placement of the multi-family zones is reasonable and appropriate as a way to implement MHA in Aurora-Licton Springs.,aurora-licton_springs--The-location-and-placement-of-the-multi-family-zones-is-reasonable-and-appropriate-as-a-way,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Aurora_Licton_Springs.pdf,jesseca.brand@seattle.gov
