zip,jurisdiction
99403,City of Clarkston
99161,City of Palouse
98101,City of Seattle
98102,City of Seattle
98103,City of Seattle
98104,City of Seattle
98105,City of Seattle
98106,City of Seattle
98107,City of Seattle
98108,City of Seattle
98109,City of Seattle
98110,City of Seattle
98111,City of Seattle
98112,City of Seattle
98113,City of Seattle
98114,City of Seattle
98115,City of Seattle
98116,City of Seattle
98117,City of Seattle
98118,City of Seattle
98119,City of Seattle
98121,City of Seattle
98122,City of Seattle
98124,City of Seattle
98125,City of Seattle
98126,City of Seattle
98127,City of Seattle
98129,City of Seattle
98131,City of Seattle
98132,City of Seattle
98133,City of Seattle
98134,City of Seattle
98136,City of Seattle
98138,City of Seattle
98139,City of Seattle
98141,City of Seattle
98144,City of Seattle
98145,City of Seattle
98146,City of Seattle
98148,City of Seattle
98154,City of Seattle
98155,City of Seattle
98158,City of Seattle
98160,City of Seattle
98161,City of Seattle
98164,City of Seattle
98165,City of Seattle
98166,City of Seattle
98168,City of Seattle
98170,City of Seattle
98174,City of Seattle
98175,City of Seattle
98177,City of Seattle
98178,City of Seattle
98181,City of Seattle
98185,City of Seattle
98188,City of Seattle
98189,City of Seattle
98190,City of Seattle
98191,City of Seattle
98194,City of Seattle
98195,City of Seattle
98198,City of Seattle
98199,City of Seattle
98021,City of Bothell
98082,City of Bothell
98012,City of Bothell
98601,Clark County
98604,Clark County
98606,Clark County
98607,Clark County
98622,Clark County
98629,Clark County
98642,Clark County
98660,Clark County
98661,Clark County
98662,Clark County
98663,Clark County
98664,Clark County
98665,Clark County
98666,Clark County
98668,Clark County
98671,Clark County
98675,Clark County
98682,Clark County
98683,Clark County
98684,Clark County
98685,Clark County
98686,Clark County
98687,Clark County
98222,San Juan County
98243,San Juan County
98245,San Juan County
98250,San Juan County
98261,San Juan County
98279,San Juan County
98280,San Juan County
98286,San Juan County
98297,San Juan County
99402,Asotin County
99401,Asotin County
99403,Asotin County
98036,City of Lynnwood
98037,City of Lynnwood
98046,City of Lynnwood
98087,City of Lynnwood
98610,Skamania County
98639,Skamania County
98648,Skamania County
98651,Skamania County
98527,Pacific County
98554,Pacific County
98561,Pacific County
98577,Pacific County
98577,Pacific County
98586,Pacific County
98586,Pacific County
98590,Pacific County
98590,Pacific County
98614,Pacific County
98624,Pacific County
98631,Pacific County
98637,Pacific County
98638,Pacific County
98640,Pacific County
98641,Pacific County
98644,Pacific County
98602,Klickitat County
98605,Klickitat County
98613,Klickitat County
98617,Klickitat County
98619,Klickitat County
98620,Klickitat County
98623,Klickitat County
98628,Klickitat County
98635,Klickitat County
98650,Klickitat County
98670,Klickitat County
98672,Klickitat County
98673,Klickitat County
99322,Klickitat County
99356,Klickitat County
99320,Benton County
99336,Benton County
99337,Benton County
99338,Benton County
99345,Benton County
99346,Benton County
99350,Benton County
99352,Benton County
99353,Benton County
99354,Benton County
98524,Mason County
98528,Mason County
98546,Mason County
98548,Mason County
98555,Mason County
98560,Mason County
98584,Mason County
98588,Mason County
98592,Mason County
98336,Lewis County
98355,Lewis County
98356,Lewis County
98361,Lewis County
98377,Lewis County
98522,Lewis County
98531,Lewis County
98532,Lewis County
98533,Lewis County
98538,Lewis County
98542,Lewis County
98544,Lewis County
98564,Lewis County
98565,Lewis County
98570,Lewis County
98572,Lewis County
98582,Lewis County
98585,Lewis County
98591,Lewis County
98593,Lewis County
98596,Lewis County
98539,Lewis County
98601,Clark County
98604,Clark County
98606,Clark County
98607,Clark County
98622,Clark County
98629,Clark County
98642,Clark County
98660,Clark County
98661,Clark County
98662,Clark County
98663,Clark County
98664,Clark County
98665,Clark County
98666,Clark County
98668,Clark County
98671,Clark County
98675,Clark County
98682,Clark County
98683,Clark County
98684,Clark County
98685,Clark County
98686,Clark County
98687,Clark County
98401,City of Tacoma
98402,City of Tacoma
98403,City of Tacoma
98404,City of Tacoma
98405,City of Tacoma
98406,City of Tacoma
98407,City of Tacoma
98408,City of Tacoma
98409,City of Tacoma
98411,City of Tacoma
98412,City of Tacoma
98413,City of Tacoma
98415,City of Tacoma
98416,City of Tacoma
98417,City of Tacoma
98418,City of Tacoma
98419,City of Tacoma
98421,City of Tacoma
98422,City of Tacoma
98424,City of Tacoma
98430,City of Tacoma
98431,City of Tacoma
98433,City of Tacoma
98438,City of Tacoma
98439,City of Tacoma
98443,City of Tacoma
98444,City of Tacoma
98445,City of Tacoma
98446,City of Tacoma
98447,City of Tacoma
98448,City of Tacoma
98464,City of Tacoma
98465,City of Tacoma
98466,City of Tacoma
98467,City of Tacoma
98471,City of Tacoma
98481,City of Tacoma
98490,City of Tacoma
98493,City of Tacoma
98496,City of Tacoma
98497,City of Tacoma
98498,City of Tacoma
98499,City of Tacoma
99033,City of Tekoa
98901,City of Yakima
98902,City of Yakima
98903,City of Yakima
98904,City of Yakima
98907,City of Yakima
98908,City of Yakima
98909,City of Yakima
98390,East Pierce Fire and Rescue District
98391,East Pierce Fire and Rescue District
98352,East Pierce Fire and Rescue District
98385,East Pierce Fire and Rescue District
98371,East Pierce Fire and Rescue District
98372,East Pierce Fire and Rescue District
98354,East Pierce Fire and Rescue District
98396,East Pierce Fire and Rescue District
98362,Clallam Fire District 2
98363,Clallam Fire District 2
98855,City of Tonasket
98370,Kitsap Fire District No. 18
98364,Kitsap Fire District No. 18
98345,Kitsap Fire District No. 18
98346,North Kitsap Fire and Rescue
98392,North Kitsap Fire and Rescue
98340,North Kitsap Fire and Rescue
98342,North Kitsap Fire and Rescue
99001,City of Airway Heights
98858,Douglas County Cemetary District No. 2
98858,Douglas County Hospital District No. 2
98860,Wilson Creek Cemetary District No. 2
99171,City of St. John
99125,Endicott Cemetery District No. 4
99158,Town of Oakesdale
99031,City of Spangle
99030,City of Rockford
98671,City of Washougal
99113,Town of Colton
99125,Town of Endicott
98045,Si View Metropolitan Park District
98065,Si View Metropolitan Park District
98068,Si View Metropolitan Park District
98168,Highline School District No. 401
98188,Highline School District No. 402
98198,Highline School District No. 403
98166,Highline School District No. 404
98146,Highline School District No. 405
98148,Highline School District No. 406
98108,Highline School District No. 407
98930,Grandview School District No. 116-200
99039,Spokane Fire Protection District No. 12
99018,Spokane Fire Protection District No. 12
99031,Spokane Fire Protection District No. 12
99012,Spokane Fire Protection District No. 12
99033,Spokane Fire Protection District No. 12
99170,Spokane Fire Protection District No. 12
98045,City of North Bend
99012,Spokane Fire Protection District No. 2
98230,City of Blaine
98231,City of Blaine
98248,City of Ferndale
98596,Winlock City
98250,Friday Harbor
98264,City of Lynden
98282,City of Stanwood
98292,City of Stanwood
98371,City of Edgewood
98372,City of Edgewood
98390,City of Edgewood
98464,City of University Place
98466,City of University Place
98467,City of University Place
98323,Town of Carbonado
98625,City of Kalama
98328,Town of Eatonville
98261,Lopez Island
98858,Town of Waterville
99350,City of Prosser
99104,Town of Farmington
99128,Town of Farmington
98014,City of Carnation
98030,City of Kent
98031,City of Kent
98032,City of Kent
98035,City of Kent
98042,City of Kent
98064,City of Kent
98089,City of Kent
99016,City of Spokane
99027,City of Spokane
99037,City of Spokane
99201,City of Spokane
99202,City of Spokane
99203,City of Spokane
99204,City of Spokane
99205,City of Spokane
99206,City of Spokane
99207,City of Spokane
99208,City of Spokane
99209,City of Spokane
99210,City of Spokane
99211,City of Spokane
99212,City of Spokane
99213,City of Spokane
99214,City of Spokane
99215,City of Spokane
99216,City of Spokane
99217,City of Spokane
99218,City of Spokane
99219,City of Spokane
99220,City of Spokane
99223,City of Spokane
99224,City of Spokane
99228,City of Spokane
99251,City of Spokane
99252,City of Spokane
99256,City of Spokane
99258,City of Spokane
99260,City of Spokane
98816,Hospital District No.2 Lake Chelan
98848,Public Hospital District No. 2
98841,Hospital District No.3
98671,Mount Pleasant School District
98261,Lopez Island School District
98245,Orcas Island School District
98250,San Juan Hospital District No. 1
98376,Quilcene Fire District No. 2
98833,Okanogan Fire District 6
98862,Okanogan Fire District 6
98856,Okanogan Fire District 6
98814,Okanogan Fire District 6
98336,Lewis Fire Protection District No. 18
98596,Lewis Fire Protection District No. 15
98506,Thurston County Fire Protection District No. 7
98528,Mason County Fire District No. 2
98552,Grays Harbor Fire Protection District No. 17 
98611,Cowlitz County Fire District No. 6
98271,Snohomish County Fire Protection District No. 15
98252,Snohomish County Fire Protection District No. 17
98223,Snohomish County Fire Protection District No. 21
98262,Whatcom Fire Protection District 11
98284,Whatcom Fire Protection District 18
99101,Stevens County Fire Protection District No. 5
98375,Pierce County Fire Protection District No. 21
98338,Pierce County Fire Protection District No. 21
98855,Tonasket EMS District
99148,Stevens County Library District 1
99141,Stevens County Library District 1
99109,Stevens County Library District 1
99157,Stevens County Library District 1
99114,Stevens County Library District 1
99026,Stevens County Library District 1
99114,Stevens County Library District 1
98223,Arlington School District
98612,Wahkiakum School District No. 200
98591,Toledo School District No. 237
99143,LaCrosse Park and Recreation District No. 3
99123,Electric City
98004,Congressional District 1
98007,Congressional District 1
98008,Congressional District 1
98011,Congressional District 1
98012,Congressional District 1
98014,Congressional District 1
98019,Congressional District 1
98021,Congressional District 1
98024,Congressional District 1
98028,Congressional District 1
98033,Congressional District 1
98034,Congressional District 1
98039,Congressional District 1
98045,Congressional District 1
98052,Congressional District 1
98053,Congressional District 1
98065,Congressional District 1
98068,Congressional District 1
98072,Congressional District 1
98074,Congressional District 1
98075,Congressional District 1
98077,Congressional District 1
98205,Congressional District 1
98208,Congressional District 1
98220,Congressional District 1
98223,Congressional District 1
98224,Congressional District 1
98225,Congressional District 1
98226,Congressional District 1
98230,Congressional District 1
98233,Congressional District 1
98235,Congressional District 1
98237,Congressional District 1
98240,Congressional District 1
98241,Congressional District 1
98244,Congressional District 1
98247,Congressional District 1
98248,Congressional District 1
98251,Congressional District 1
98252,Congressional District 1
98255,Congressional District 1
98256,Congressional District 1
98258,Congressional District 1
98262,Congressional District 1
98263,Congressional District 1
98266,Congressional District 1
98267,Congressional District 1
98272,Congressional District 1
98273,Congressional District 1
98274,Congressional District 1
98276,Congressional District 1
98281,Congressional District 1
98283,Congressional District 1
98284,Congressional District 1
98288,Congressional District 1
98290,Congressional District 1
98294,Congressional District 1
98295,Congressional District 1
98296,Congressional District 1
98464,Congressional District 1
98862,Congressional District 1
98012,Congressional District 2
98021,Congressional District 2
98026,Congressional District 2
98036,Congressional District 2
98037,Congressional District 2
98043,Congressional District 2
98087,Congressional District 2
98201,Congressional District 2
98203,Congressional District 2
98204,Congressional District 2
98205,Congressional District 2
98207,Congressional District 2
98208,Congressional District 2
98220,Congressional District 2
98221,Congressional District 2
98222,Congressional District 2
98223,Congressional District 2
98225,Congressional District 2
98226,Congressional District 2
98229,Congressional District 2
98232,Congressional District 2
98233,Congressional District 2
98236,Congressional District 2
98238,Congressional District 2
98239,Congressional District 2
98243,Congressional District 2
98245,Congressional District 2
98249,Congressional District 2
98250,Congressional District 2
98253,Congressional District 2
98257,Congressional District 2
98258,Congressional District 2
98260,Congressional District 2
98261,Congressional District 2
98270,Congressional District 2
98271,Congressional District 2
98273,Congressional District 2
98274,Congressional District 2
98275,Congressional District 2
98277,Congressional District 2
98278,Congressional District 2
98279,Congressional District 2
98280,Congressional District 2
98282,Congressional District 2
98284,Congressional District 2
98286,Congressional District 2
98292,Congressional District 2
98297,Congressional District 2
98257,Congressional District 3
98304,Congressional District 3
98336,Congressional District 3
98355,Congressional District 3
98356,Congressional District 3
98361,Congressional District 3
98377,Congressional District 3
98530,Congressional District 3
98531,Congressional District 3
98532,Congressional District 3
98533,Congressional District 3
98537,Congressional District 3
98538,Congressional District 3
98542,Congressional District 3
98544,Congressional District 3
98547,Congressional District 3
98564,Congressional District 3
98565,Congressional District 3
98568,Congressional District 3
98570,Congressional District 3
98572,Congressional District 3
98576,Congressional District 3
98577,Congressional District 3
98579,Congressional District 3
98581,Congressional District 3
98582,Congressional District 3
98585,Congressional District 3
98586,Congressional District 3
98589,Congressional District 3
98590,Congressional District 3
98591,Congressional District 3
98593,Congressional District 3
98596,Congressional District 3
98597,Congressional District 3
98601,Congressional District 3
98602,Congressional District 3
98603,Congressional District 3
98604,Congressional District 3
98605,Congressional District 3
98606,Congressional District 3
98607,Congressional District 3
98610,Congressional District 3
98611,Congressional District 3
98612,Congressional District 3
98613,Congressional District 3
98614,Congressional District 3
98616,Congressional District 3
98617,Congressional District 3
98619,Congressional District 3
98620,Congressional District 3
98621,Congressional District 3
98624,Congressional District 3
98625,Congressional District 3
98626,Congressional District 3
98628,Congressional District 3
98629,Congressional District 3
98631,Congressional District 3
98632,Congressional District 3
98635,Congressional District 3
98638,Congressional District 3
98639,Congressional District 3
98640,Congressional District 3
98641,Congressional District 3
98642,Congressional District 3
98643,Congressional District 3
98644,Congressional District 3
98645,Congressional District 3
98647,Congressional District 3
98648,Congressional District 3
98649,Congressional District 3
98650,Congressional District 3
98651,Congressional District 3
98660,Congressional District 3
98661,Congressional District 3
98662,Congressional District 3
98663,Congressional District 3
98664,Congressional District 3
98665,Congressional District 3
98670,Congressional District 3
98671,Congressional District 3
98672,Congressional District 3
98673,Congressional District 3
98674,Congressional District 3
98675,Congressional District 3
98682,Congressional District 3
98683,Congressional District 3
98684,Congressional District 3
98685,Congressional District 3
98686,Congressional District 3
99322,Congressional District 3
99350,Congressional District 3
99356,Congressional District 3
98802,Congressional District 4
98812,Congressional District 4
98813,Congressional District 4
98814,Congressional District 4
98816,Congressional District 4
98819,Congressional District 4
98823,Congressional District 4
98824,Congressional District 4
98827,Congressional District 4
98829,Congressional District 4
98830,Congressional District 4
98832,Congressional District 4
98833,Congressional District 4
98834,Congressional District 4
98837,Congressional District 4
98840,Congressional District 4
98841,Congressional District 4
98843,Congressional District 4
98844,Congressional District 4
98845,Congressional District 4
98846,Congressional District 4
98848,Congressional District 4
98849,Congressional District 4
98850,Congressional District 4
98851,Congressional District 4
98853,Congressional District 4
98855,Congressional District 4
98856,Congressional District 4
98857,Congressional District 4
98858,Congressional District 4
98859,Congressional District 4
98860,Congressional District 4
98862,Congressional District 4
98901,Congressional District 4
98902,Congressional District 4
98903,Congressional District 4
98908,Congressional District 4
98921,Congressional District 4
98923,Congressional District 4
98929,Congressional District 4
98930,Congressional District 4
98932,Congressional District 4
98933,Congressional District 4
98935,Congressional District 4
98936,Congressional District 4
98937,Congressional District 4
98938,Congressional District 4
98939,Congressional District 4
98942,Congressional District 4
98944,Congressional District 4
98947,Congressional District 4
98948,Congressional District 4
98951,Congressional District 4
98952,Congressional District 4
98953,Congressional District 4
99032,Congressional District 4
99103,Congressional District 4
99105,Congressional District 4
99115,Congressional District 4
99116,Congressional District 4
99123,Congressional District 4
99124,Congressional District 4
99133,Congressional District 4
99135,Congressional District 4
99159,Congressional District 4
99166,Congressional District 4
99169,Congressional District 4
99301,Congressional District 4
99320,Congressional District 4
99321,Congressional District 4
99323,Congressional District 4
99326,Congressional District 4
99333,Congressional District 4
99335,Congressional District 4
99336,Congressional District 4
99337,Congressional District 4
99338,Congressional District 4
99341,Congressional District 4
99343,Congressional District 4
99344,Congressional District 4
99345,Congressional District 4
99346,Congressional District 4
99348,Congressional District 4
99349,Congressional District 4
99350,Congressional District 4
99352,Congressional District 4
99353,Congressional District 4
99354,Congressional District 4
99357,Congressional District 4
99359,Congressional District 4
99361,Congressional District 4
99362,Congressional District 4
99363,Congressional District 4
99371,Congressional District 4
98134,Congressional District 5
98832,Congressional District 5
99001,Congressional District 5
99003,Congressional District 5
99004,Congressional District 5
99005,Congressional District 5
99006,Congressional District 5
99008,Congressional District 5
99009,Congressional District 5
99011,Congressional District 5
99012,Congressional District 5
99013,Congressional District 5
99016,Congressional District 5
99017,Congressional District 5
99018,Congressional District 5
99019,Congressional District 5
99020,Congressional District 5
99021,Congressional District 5
99022,Congressional District 5
99023,Congressional District 5
99025,Congressional District 5
99026,Congressional District 5
99027,Congressional District 5
99029,Congressional District 5
99030,Congressional District 5
99031,Congressional District 5
99032,Congressional District 5
99033,Congressional District 5
99034,Congressional District 5
99036,Congressional District 5
99037,Congressional District 5
99038,Congressional District 5
99039,Congressional District 5
99040,Congressional District 5
99101,Congressional District 5
99102,Congressional District 5
99103,Congressional District 5
99109,Congressional District 5
99110,Congressional District 5
99111,Congressional District 5
99113,Congressional District 5
99114,Congressional District 5
99117,Congressional District 5
99118,Congressional District 5
99119,Congressional District 5
99121,Congressional District 5
99122,Congressional District 5
99125,Congressional District 5
99126,Congressional District 5
