name,jurisdiction,category,designator,description,additional_description1,additional_description2,url1,url2,url3,url4,lookup jurisdiction,long_id,notes,additional_description3,seo_title,seo_description,seo_keywords
Should we use a special property tax for maintenance and operation of the Lind Cemetery?,Adams Cemetery District No. 3,Proposition,,"<p>Lind Cemetery District 3 has adopted a resolution proposing a ballot measure for a real property tax levy.  This measure will authorize the District to levy a special property tax of $35,000, an estimated $0.15 per one thousand dollars of assessed valuation in 2013, for maintenance and operation of the Lind Cemetery for the year 2014.</p> <p>Do you support or oppose this measure?</p>",,,,,,,Adams Cemetery District No. 3,ad_cemetry,,,,,"Proposition ,"
Should we use a special property tax for construction of pumper equipment for Adams Fire District No. 4,Adams Fire District No. 4,Proposition,,"<p>Adams County Fire Protection District No.4 has adopted a resolution proposing a ballot measure for a real property tax levy.  This measure will authorize the District to levy a special property tax of $11,000, an estimated $1.35 per one thousand dollars of assessed valuation in 2013, for construction of pumper equipment in the year 2014.</p> <p>Do you support or oppose this measure?</p>",,,,,,,Adams Fire District No. 4,ad_firetax,,,,,"Proposition ,"
"Should the cities of Asotin and Clarkston, and Asotin County be consolidated into a single city-county government?",Asotin County,Proposition,1,"Shall a board of freeholders be elected for the purpose of framing a city county charter to provide for the consolidation of the City of Asotin, City of Clarkston, and Asotin County into a single city-county government? ",,,,,,,Asotin County,as_charter,,,,,"Proposition 1,"
Should we increase the sales tax for support of the Asotin County Family Aquatic Center?,Asotin County,Proposition,,"The Board of County Commissioners for Asotin County formed a Public Facilities District for the Asotin County Family Aquatic Center and appointed a Board of Directors.  By resolution Number 13-01, the Public Facilities Board of Directors have proposed the two tenths of one per cent sales tax for public facilities districts authorized by RCW 82.14.048.  The funds may only be used for the financing, re-financing, design, acquisition, construction, equipping, operating, maintaining, remodeling, repairing and reequipping of public facilities.   Should the Public Facilities District impose a two tenths (.02) of one per cent sales tax for support of the Asotin County Family Aquatic Center? ",,,,,,,Asotin County,as_pub_fac,,,,,"Proposition ,"
"Should we authorize renovations, student safety, and other upgrades to designated schools and facilities throughout  Bellingham School District No. 501 by issuing bonds?",Bellingham School District No. 501,Proposition,1,"<p>The Board of Directors of Bellingham School District No. 501 adopted Resolution No. 14-13 concerning this proposition for bonds. This proposition would authorize renovations, student safety and other upgrades to designated schools and facilities throughout the district to extend their useful life and construct replacement buildings for Sehome High School, Options/Innovations High School and Happy Valley Elementary School, to issue $160,000,000 of general obligation bonds maturing within a maximum of 20 years, and to levy excess property taxes annually to repay the bonds, as provided in Resolution No. 14-13.</p> <p>Do you support or oppose this measure?</p>",,,https://wei.sos.wa.gov/county/whatcom/en/Documents/2013_Gen_Voters_Guide.pdf,,,,Bellingham School District No. 501,wm_bhamsch,,,,,"Proposition 1,"
"Should we increase the property tax for maintenance, operations, and capital facilities of the Benton Fire District?",Benton Fire District No. 1,Proposition,1,"<p>The Board of Commissioners of Benton County Fire Protection District No. 1 adopted Resolution No. 2013-08 concerning a proposition to finance maintenance, operations and capital facilities. This measure would restore the District's regular property tax levy to an amount not to exceed $1.50 per $1,000.00 of assessed valuation for collection in 2014 and would authorize an annual increase of up to 6% (but not to exceed the $1.50 rate) for each of the five succeeding years. The maximum allowable levy in 2018, collected in 2019, shall serve as the base for subsequent levy limitations as provided by Chapter 84.55 RCW.</p> <p>Should this be enacted into law?</p>","<p>Benton County Fire District No.1 serving the citizens within the unincorporated areas of South Kennewick, Finley, Tri-City Heights, El Rancho Reata, Tripple Vista, and Badger Canyon is placing a multi-year levy restoration proposition on the November 5, 2013 ballot. If approved by the voters, the proposition will authorize the Fire District to restore the regular property tax levy at a rate not to exceed $1.50 per $1000.00 of assessed valuation for a period of 6 years. The current levy rate is $1.38 per $1000.00 of assessed valuation.</p><p>In 2014 the District will collect $1.50 per $1000.00 of assessed valuation and in each of the following five years; the District will collect 100% of the previous year's collections plus an amount up to 6% (rather than the 1% limit presently allowed) that cannot exceed a rate of $1.50. The maximum allowable levy in 2018, to be collected in 2019, shall serve as the base for subsequent levy limitations as provided by Chapter 84.55 RCW.</p><p>The Fire District Board of Commissioners has found that the tax levy and the revenue it will produce is necessary to maintain the current level of emergency response services including volunteer, career and resident firefighters, equipment and facilities operations and maintenance and to provide for the purchase of equipment and apparatus to continue providing quality services for the protection of life and property to preserve public safety in the Fire District.</p><p>If the levy is approved, the maximum tax on a $200,000 assessed valuation residence would be increased by $24.00 in the first year or approximately $2.00 per month for fire and emergency services subsequent year increases would be limited to a percentage increase to retain the $1.50, not to exceed 6% annually. Using the same example of a $200,000 residence and a projected 2% increase to retain the $1.50 collection rate the increase would be $6.00 in the second year or approximately $0.50 per month for fire and emergency services. Each subsequent year would be calculated in the same manner.</p>",,http://www.bentonelections.com/VP/F1.html,,,,Benton Fire District No. 1,be_firetax,,,,,"Proposition 1,"
"Should we increase the Lewis County Fire District No. 17 levy for maintenance, operations, and training?",Big Creek-Mineral Fire District No. 17,Proposition,1,"Lewis County Fire District No. 17 shall be authorized to increase its regular property tax levy for maintenance, operations and training to an amount of $1.00 per $1,000.00 of assessed valuation for collection in 2014 and to authorize setting the limit factor at 102% for each of the two succeeding years (2015-2016).",,,,,,,Big Creek-Mineral Fire District No. 17,le_firetx1,,,,,"Proposition 1,"
Should the  Jefferson County Fire Protection District No. 4's levy be increased?,Brinnon Fire District No. 4,Proposition,,"Shall Jefferson County Fire Protection District No. 4 be authorized to increase its regular property tax levy to $1.25 per $1,000.00 of assessed valuation? (This shall not be construed to authorize an excess levy and shall be subject to otherwise applicable statutory limits.)",,,,,,,Brinnon Fire District No. 4,je_firetx1,,,,,"Proposition ,"
Should we authorize a sales and use tax to be used solely to fund the projects identified in the City of Airway Heights Transportation Improvement Plan?,City of Airway Heights,Proposition,1,"<p>To finance a portion of the projects identified in the City of Airway Heights Transportation Plan plus the operation and maintenance of those projects, the Airway Heights Transportation Benefit District Board of Directors adopted Resolution No. 2013-001, concerning a proposition to authorize a sales and use tax of two-tenths of one percent (0.2%) to be collected from all taxable sales within the District according to RCW 82.14.0455(1) for a term of ten years. The above sales tax will be used solely to fund the projects identified in the Transportation Improvement Plan.</p> <p>Do you support or oppose this measure?</p>",,,https://wei.sos.wa.gov/county/spokane/erchives/Documents/Sample%20Ballots/2013%20Sample%20Ballot/Sample%20Ballotg113.pdf,,,,City of Airway Heights,sp_ah_tran,,,,,"Proposition 1,"
Should the City of Bremerton's charter be amended?,City of Bremerton,Charter Amendment,,"<p>The Bremerton City Council adopted Resolution No. 3198, approving changes to the Charter of the City of Bremerton. If approved, this proposition amends the City Charter by 1) allowing the City Council to hold a Special Meeting outside of the City limits as long as it is within Kitsap County, 2) updating language to reflect that as of January 1, 2014, the City Council will consist of seven members, and 3) making January 1, 2014, the effective date of the amendments.</p> <p>Do you support or oppose this measure?</p>",,,,,,,City of Bremerton,kp_brem_ca,,,,,"Charter Amendment ,"
