account_id,jurisdiction,designator,category,short_name,name,description,long_description,url,county,,,,,
1,COUNTYWIDE,1,Proposition,Proposition 1,Home Rule Charter,"Proposition No. 1 concerns a proposal to frame a home rule charter for Asotin County.  If approved, a board of eighteen (18) freeholders would be elected for the purpose of drafting a home rule charter for submission to the voters of Asotin County to adopt or reject pursuant to Article XI, Section 4, of the Washington State Constitution.  Should this proposition be approved? ",,https://wei.sos.wa.gov/county/asotin/en/Elections/CurrentElection/Pages/OnlineVotersGuide.aspx,Asotin,,,,,
1,EMS DISTRICT 1,1,Proposition,Proposition 1,Emergency Medical Services Property Tax Levy,Shall the City of Asotin be authorized to impose regular Emergency Medical Services property tax levies of fifty cents or less per thousand dollars of assessed valuation for each of six consecutive years beginning in 2012 for collection for the purpose of providing and maintaining Emergency Medical Services in the City of Asotin?,,https://wei.sos.wa.gov/county/asotin/en/Elections/CurrentElection/Pages/OnlineVotersGuide.aspx,Asotin,,,,,
1,EMS DISTRICT 2,1,Proposition,Proposition 1,Excess Tax Levy,"The City Council of the City of Clarkston, Washington, adopted Resolution No. 2012-08 concerning a proposition to finance emergency medical services. This proposition, if approved, would permit maintenance and operation of Rescue One Emergency Medical Services through the levy of a special excess tax for collection in 2013 of $511,800.00 requiring approximately $1.29 per thousand dollars of assessed value (based on 100% of true and fair value). Should this proposition be approved?",,https://wei.sos.wa.gov/county/asotin/en/Elections/CurrentElection/Pages/OnlineVotersGuide.aspx,Asotin,,,,,
1,FIRE DIST 3 CHUMSTICK ICICLE,1,Proposition,Proposition 1,Annexation,Shall the City of Leavenworth be annexed to and be a part of Chelan County Fire Protection District No. 3?,,https://wei.sos.wa.gov/county/chelan/en/Pages/OnlineVotersGuide.aspx,Chelan,,,,,
1,FIRE DIST 7 CHELAN,1,Proposition,Proposition 1,Authorizing Increase in Property Taxes over 1% Limitation,"To ensure continued delivery of fire protection and emergency medical services to District residents, Chelan County Fire Protection District No. 7; requests re-authorization to exceed the 1% limitation on annual property tax increases, and to levy taxes for 2013 collection at the rate of $1.16 per $1,000 of assessed value, as authorized by Resolution No. 2012-13, and use the levy thus authorized as the base levy for future years’ levies.",,https://wei.sos.wa.gov/county/chelan/en/Pages/OnlineVotersGuide.aspx,Chelan,,,,,
1,C-TRAN TRANSPORTATION DISTRICT,1,Proposition,Proposition 1,Light Rail,"Resolution BR-12-009 and RCW 81.104 authorize a proposition to increase the sales and use tax by 0.1 percent, or one penny on a ten dollar purchase, to fund the C-TRAN share of the maintenance and operations costs only of the Columbia River Crossing Project light rail extension between Expo Center and Clark Park & Ride and the local capital share and operations and maintenance costs of the Fourth Plain Boulevard Bus Rapid Transit project. Should this proposition be: Approved or Rejected",,https://weiapplets.sos.wa.gov/MyVote/OnlineVotersGuide/Measures?electionId=46&countyCode=cr&ismyVote=False#ososTop,Clark,,,,,
1,CITY OF VANCOUVER,1,Proposition,Proposition 1,Metropolitan Park District,"The Vancouver City Council passed Resolution No. M-3777 to allow voters to decide whether to create the ""Vancouver Metropolitan Park District,"" to be governed by the Vancouver City Council as the ex officio board of park commissioners. If created, the metropolitan park district would have all the powers under Chapter 35.61 RCW, including the authority to levy a general tax on property not to exceed the statutory maximum to support parks and recreation services. Shall the Vancouver Metropolitan Park District be so created and governed? _ For the formation of the metropolitan park district, to be governed by the City Council of the City of Vancouver as the ex officio board of parks commissioners. _ Against the formation of the metropolitan park district.",,https://weiapplets.sos.wa.gov/MyVote/OnlineVotersGuide/Measures?electionId=46&countyCode=cr&ismyVote=False#ososTop,Clark,,,,,
1,TOWN OF YACOLT,1,Proposition,Proposition 1,Levy for Operations and Maintenance Expenses,"This proposition of the Town of Yacolt concerns an excess property tax levy for operations and maintenance expenses. This proposition authorizes the town to levy excess taxes at a rate of $1.00 per $1,000 assessed value for collection only for the year 2013, to raise approximately $78,000 for operations and maintenance expenses of the Town of Yacolt as set forth in this resolution. Should this Proposition be approved?: Y or N",,https://weiapplets.sos.wa.gov/MyVote/OnlineVotersGuide/Measures?electionId=46&countyCode=cr&ismyVote=False#ososTop,Clark,,,,,
1,CITY OF LONGVIEW,1,Proposition,Proposition  1,Automated Traffic Safety Cameras,The City Council of the City of Longview adopted Resolution No. 2023 concerning the question of whether or not the City of Longview should continue use of automated traffic safety cameras in school zones. This Proposition No 1 is to consider the continued use of automated traffic safety cameras in school zones. This prop. Os an advisory vote for consideration by the city council,"On April 26, 012 the Longview City Council adopted Resolution No. 2023 calling for the advisory vote of prop 1. City is in the process of selecting advisory committees to draft the pro/con statements in the coming months.",https://wei.sos.wa.gov/county/cowlitz/en/voterinformation/Pages/Online-Voters-Guide.aspx,Cowlitz,,,,,
1,CITY OF LONGVIEW,2,Proposition,Proposition 2,Creation of Transportation Benefit District,This Proposition No. 2 is to consider the question of whether or not the city of longview should create a Transportation Benefit District in order to assess an annual $20 per vehicle fee to pay for maintenance and improvement of city streets. This Proposition is an advisory vote for consideration by the city council. Should the City of Longview create a Trnsportation Benefit District in order to asses an annual $20 per vehicle fee to pay for maintenance and improvement of city streets? Y or N,Proposition was enacted by Resolution No. 2040 on Aug 6 2012,https://wei.sos.wa.gov/county/cowlitz/en/voterinformation/Pages/Online-Voters-Guide.aspx,Cowlitz,,,,,
