Zip,Jurisdiction
99402,City of Asotin
98225,City of Bellingham
98226,City of Bellingham
98227,City of Bellingham
98228,City of Bellingham
98229,City of Bellingham
98011,City of Bothell
98012,City of Bothell
98021,City of Bothell
98028,City of Bothell
98041,City of Bothell
98082,City of Bothell
98310,City of Bremerton
98311,City of Bremerton
98312,City of Bremerton
98314,City of Bremerton
98337,City of Bremerton
98014,City of Carnation
99403,City of Clarkston
99114,City of Colville
99326,City of Connell
98148,City of Des Moines
98198,City of Des Moines
98020,City of Edmonds
98026,City of Edmonds
98022,City of Enumclaw
99130,City of Garfield
98550,City of Hoquiam
98503,City of Lacey
98506,City of Lacey
98509,City of Lacey
98513,City of Lacey
98516,City of Lacey
99016,City of Liberty Lake
99019,City of Liberty Lake
98632,City of Longview
98036,City of Lynnwood
98037,City of Lynnwood
98046,City of Lynnwood
98087,City of Lynnwood
98272,City of Monroe
99156,City of Newport
98045,City of North Bend
98068,City of North Bend
98501,City of Olympia
98502,City of Olympia
98503,City of Olympia
98504,City of Olympia
98505,City of Olympia
98506,City of Olympia
98507,City of Olympia
98508,City of Olympia
98509,City of Olympia
98511,City of Olympia
98512,City of Olympia
98513,City of Olympia
98516,City of Olympia
98599,City of Olympia
98047,City of Pacific
99161,City of Palouse
98368,City of Port Townsend
98148,City of SeaTac
98158,City of SeaTac
98168,City of SeaTac
98188,City of SeaTac
98198,City of SeaTac
98101,City of Seattle
98102,City of Seattle
98103,City of Seattle
98104,City of Seattle
98105,City of Seattle
98106,City of Seattle
98107,City of Seattle
98108,City of Seattle
98109,City of Seattle
98111,City of Seattle
98112,City of Seattle
98113,City of Seattle
98114,City of Seattle
98115,City of Seattle
98116,City of Seattle
98117,City of Seattle
98118,City of Seattle
98119,City of Seattle
98121,City of Seattle
98122,City of Seattle
98124,City of Seattle
98125,City of Seattle
98126,City of Seattle
98127,City of Seattle
98129,City of Seattle
98131,City of Seattle
98132,City of Seattle
98133,City of Seattle
98134,City of Seattle
98136,City of Seattle
98138,City of Seattle
98139,City of Seattle
98141,City of Seattle
98144,City of Seattle
98145,City of Seattle
98146,City of Seattle
98148,City of Seattle
98154,City of Seattle
98155,City of Seattle
98158,City of Seattle
98160,City of Seattle
98161,City of Seattle
98164,City of Seattle
98165,City of Seattle
98166,City of Seattle
98168,City of Seattle
98170,City of Seattle
98174,City of Seattle
98175,City of Seattle
98177,City of Seattle
98178,City of Seattle
98181,City of Seattle
98185,City of Seattle
98188,City of Seattle
98189,City of Seattle
98190,City of Seattle
98191,City of Seattle
98194,City of Seattle
98195,City of Seattle
98198,City of Seattle
98199,City of Seattle
98584,City of Shelton
98133,City of Shoreline
98155,City of Shoreline
98177,City of Shoreline
99201,City of Spokane
99202,City of Spokane
99203,City of Spokane
99204,City of Spokane
99205,City of Spokane
99206,City of Spokane
99207,City of Spokane
99208,City of Spokane
99209,City of Spokane
99210,City of Spokane
99211,City of Spokane
99212,City of Spokane
99213,City of Spokane
99214,City of Spokane
99215,City of Spokane
99216,City of Spokane
99217,City of Spokane
99218,City of Spokane
99219,City of Spokane
99220,City of Spokane
99223,City of Spokane
99224,City of Spokane
99228,City of Spokane
99251,City of Spokane
99252,City of Spokane
99256,City of Spokane
99258,City of Spokane
99260,City of Spokane
99299,City of Spokane
99016,City of Spokane Valley
99027,City of Spokane Valley
99037,City of Spokane Valley
99206,City of Spokane Valley
99211,City of Spokane Valley
99212,City of Spokane Valley
99213,City of Spokane Valley
99214,City of Spokane Valley
99215,City of Spokane Valley
99216,City of Spokane Valley
99223,City of Spokane Valley
99033,City of Tekoa
98108,City of Tukwila
98138,City of Tukwila
98168,City of Tukwila
98178,City of Tukwila
98188,City of Tukwila
99361,City of Waitsburg
98596,City of Winlock
98674,City of Woodland
98831,Manson
98570,Onalaska
98847,Peshastin
98281,Point Roberts
98393,Port of Tracyton
98045,Si View Metropolitan Park District
98065,Si View Metropolitan Park District
98068,Si View Metropolitan Park District
98501,South Bay
99102,Town of Albion
99113,Town of Colton
99125,Town of Endicott
99104,Town of Farmington
99128,Town of Farmington 
99136,Town of LaCrosse
99143,Town of LaCrosse
98937,Town of Naches
99158,Town of Oakesdale
99348,Town of Prescott
99030,Town of Rockford
99170,Town of Rosalia
99031,Town of Spangle
99171,Town of St John
98858,Town of Waterville
99401,Asotin County
99402,Asotin County
99403,Asotin County
98601,Clark County
98604,Clark County
98606,Clark County
98607,Clark County
98622,Clark County
98629,Clark County
98642,Clark County
98660,Clark County
98661,Clark County
98662,Clark County
98663,Clark County
98664,Clark County
98665,Clark County
98666,Clark County
98668,Clark County
98671,Clark County
98675,Clark County
98682,Clark County
98683,Clark County
98684,Clark County
98685,Clark County
98686,Clark County
98687,Clark County
98802,Douglas County
98813,Douglas County
98830,Douglas County
98843,Douglas County
98845,Douglas County
98850,Douglas County
98858,Douglas County
99301,Franklin County
99302,Franklin County
99326,Franklin County
99330,Franklin County
99335,Franklin County
99343,Franklin County
98823,Grant County
98824,Grant County
98832,Grant County
98837,Grant County
98848,Grant County
98851,Grant County
98853,Grant County
98857,Grant County
98860,Grant County
99115,Grant County
99123,Grant County
99133,Grant County
99135,Grant County
99321,Grant County
99349,Grant County
99357,Grant County
98520,Grays Harbor County
98526,Grays Harbor County
98535,Grays Harbor County
98536,Grays Harbor County
98537,Grays Harbor County
98541,Grays Harbor County
98547,Grays Harbor County
98550,Grays Harbor County
98552,Grays Harbor County
98557,Grays Harbor County
98559,Grays Harbor County
98562,Grays Harbor County
98563,Grays Harbor County
98566,Grays Harbor County
98568,Grays Harbor County
98569,Grays Harbor County
98571,Grays Harbor County
98575,Grays Harbor County
98583,Grays Harbor County
98587,Grays Harbor County
98595,Grays Harbor County
98236,Island County
98239,Island County
98249,Island County
98253,Island County
98260,Island County
98277,Island County
98278,Island County
98282,Island County
98061,Kitsap County
98110,Kitsap County
98310,Kitsap County
98311,Kitsap County
98312,Kitsap County
98314,Kitsap County
98315,Kitsap County
98322,Kitsap County
98337,Kitsap County
98340,Kitsap County
98342,Kitsap County
98345,Kitsap County
98346,Kitsap County
98353,Kitsap County
98359,Kitsap County
98364,Kitsap County
98366,Kitsap County
98367,Kitsap County
98370,Kitsap County
98378,Kitsap County
98380,Kitsap County
98383,Kitsap County
98384,Kitsap County
98386,Kitsap County
98392,Kitsap County
98393,Kitsap County
98068,Kittitas County
98922,Kittitas County
98925,Kittitas County
98926,Kittitas County
98934,Kittitas County
98940,Kittitas County
98941,Kittitas County
98943,Kittitas County
98946,Kittitas County
98950,Kittitas County
99008,Lincoln County
99029,Lincoln County
99032,Lincoln County
99103,Lincoln County
99117,Lincoln County
99122,Lincoln County
99134,Lincoln County
99144,Lincoln County
99147,Lincoln County
99154,Lincoln County
99159,Lincoln County
99185,Lincoln County
98524,Mason County
98528,Mason County
98546,Mason County
98548,Mason County
98555,Mason County
98560,Mason County
98584,Mason County
98588,Mason County
98592,Mason County
98527,Pacific County
98554,Pacific County
98561,Pacific County
98577,Pacific County
98586,Pacific County
98590,Pacific County
98614,Pacific County
98624,Pacific County
98631,Pacific County
98637,Pacific County
98638,Pacific County
98640,Pacific County
98641,Pacific County
98644,Pacific County
99119,Pend Oreille County
99139,Pend Oreille County
99152,Pend Oreille County
99153,Pend Oreille County
99156,Pend Oreille County
99180,Pend Oreille County
98222,San Juan County
98243,San Juan County
98245,San Juan County
98250,San Juan County
98261,San Juan County
98279,San Juan County
98280,San Juan County
98286,San Juan County
98297,San Juan County
98610,Skamania County
98639,Skamania County
98648,Skamania County
98651,Skamania County
98012,Snohomish County
98020,Snohomish County
98021,Snohomish County
98026,Snohomish County
98036,Snohomish County
98037,Snohomish County
98043,Snohomish County
98046,Snohomish County
98082,Snohomish County
98087,Snohomish County
98201,Snohomish County
98203,Snohomish County
98204,Snohomish County
98205,Snohomish County
98206,Snohomish County
98207,Snohomish County
98208,Snohomish County
98213,Snohomish County
98223,Snohomish County
98241,Snohomish County
98251,Snohomish County
98252,Snohomish County
98256,Snohomish County
98258,Snohomish County
98259,Snohomish County
98270,Snohomish County
98271,Snohomish County
98272,Snohomish County
98275,Snohomish County
98287,Snohomish County
98290,Snohomish County
98291,Snohomish County
98292,Snohomish County
98293,Snohomish County
98294,Snohomish County
98296,Snohomish County
99001,Spokane County
99003,Spokane County
99004,Spokane County
99005,Spokane County
99006,Spokane County
99009,Spokane County
99011,Spokane County
99012,Spokane County
99014,Spokane County
99016,Spokane County
99018,Spokane County
99019,Spokane County
99020,Spokane County
99021,Spokane County
99022,Spokane County
99023,Spokane County
99025,Spokane County
99026,Spokane County
99027,Spokane County
99030,Spokane County
99031,Spokane County
99036,Spokane County
99037,Spokane County
99039,Spokane County
99201,Spokane County
99202,Spokane County
99203,Spokane County
99204,Spokane County
99205,Spokane County
99206,Spokane County
99207,Spokane County
99208,Spokane County
99209,Spokane County
99210,Spokane County
99211,Spokane County
99212,Spokane County
99213,Spokane County
99214,Spokane County
99215,Spokane County
99216,Spokane County
99217,Spokane County
99218,Spokane County
99219,Spokane County
99220,Spokane County
99223,Spokane County
99224,Spokane County
99228,Spokane County
99251,Spokane County
99252,Spokane County
99256,Spokane County
99258,Spokane County
99260,Spokane County
99299,Spokane County
99013,Stevens County
99034,Stevens County
99040,Stevens County
99101,Stevens County
99109,Stevens County
99110,Stevens County
99114,Stevens County
99126,Stevens County
99129,Stevens County
99131,Stevens County
99137,Stevens County
99141,Stevens County
99148,Stevens County
99151,Stevens County
99157,Stevens County
99167,Stevens County
99173,Stevens County
99181,Stevens County
98220,Whatcom County
98225,Whatcom County
98226,Whatcom County
98227,Whatcom County
98228,Whatcom County
98229,Whatcom County
98230,Whatcom County
98231,Whatcom County
98240,Whatcom County
98244,Whatcom County
98247,Whatcom County
98248,Whatcom County
98262,Whatcom County
98264,Whatcom County
98266,Whatcom County
98276,Whatcom County
98281,Whatcom County
98295,Whatcom County
98901,Yakima County
98902,Yakima County
98903,Yakima County
98904,Yakima County
98907,Yakima County
98908,Yakima County
98909,Yakima County
98920,Yakima County
98921,Yakima County
98923,Yakima County
98930,Yakima County
98932,Yakima County
98933,Yakima County
98935,Yakima County
98936,Yakima County
98937,Yakima County
98938,Yakima County
98939,Yakima County
98942,Yakima County
98944,Yakima County
98947,Yakima County
98948,Yakima County
98951,Yakima County
98952,Yakima County
98953,Yakima County
