Source,ID,name,jurisdiction,type,number,title,description,URL,,,,,,
2011Gen.StateMeasures.8-19-11.xls,104901,Voting,State of Washington,Senate Joint Resolution,8205,Concerning the length of time a voter must reside in Washington to vote for president and vice president.,"The legislature has proposed a constitutional amendment on repealing article VI, section 1A, of the Washington Constitution. \n\nThis amendment would remove an inoperative provision from the state constitution regarding the length of time a voter must reside in Washington to vote for president and vice-president.",http://wei.secstate.wa.gov/osos/en/PreviousElections/2011/general/Documents/8205%20complete%20text.pdf,,,,,,
2011Gen.StateMeasures.8-19-11.xls,104905,Budget,State of Washington,Senate Joint Resolution,8206,Concerning the budget stabilization account maintained in the state treasury.,"he legislature has proposed a constitutional amendment on the budget stabilization account maintained in the state treasury. \n\nThis amendment would require the legislature to transfer additional moneys to the budget stabilization account in each fiscal biennium in which the state has received “extraordinary revenue growth,” as defined, with certain limitations.",http://wei.secstate.wa.gov/osos/en/PreviousElections/2011/general/Documents/8206%20complete%20text.pdf,,,,,,
2011Gen.StateMeasures.8-19-11.xls,105193,Transportation ,State of Washington,Initiative,1125,Concerning state expenditures on transportation.,"Initiative Measure No. 1125 concerns state expenditures on transportation. \n\nThis measure would prohibit the use of motor vehicle fund revenue and vehicle toll revenue for non-transportation purposes, and require that road and bridge tolls be set by the legislature and be project-specific.",http://wei.secstate.wa.gov/osos/en/PreviousElections/2011/general/Documents/1125%20Full%20Text%20for%20VP.pdf,,,,,,
2011Gen.StateMeasures.8-19-11.xls,105185,Care workers,State of Washington,Initiative,1163,Concerning long-term care workers and services for elderly and disabled people.,"Initiative Measure No. 1163 concerns long-term care workers and services for elderly and disabled people. \n\nThis measure would reinstate background checks, training, and other requirements for long-term care workers and providers, if amended in 2011; and address financial accountability and administrative expenses of the long-term in-home care program.",http://wei.secstate.wa.gov/osos/en/PreviousElections/2011/general/Documents/1163%20Full%20Text%20for%20VP.pdf,,,,,,
2011Gen.StateMeasures.8-19-11.xls,105189,Liquor,State of Washington,Initiative,1183,"Concerning liquor: beer, wine, and spirits (hard liquor).","Initiative Measure No. 1183 concerns liquor:  beer, wine, and spirits (hard liquor). \n\nThis measure would close state liquor stores and sell their assets; license private parties to sell and distribute spirits; set license fees based on sales; regulate licensees; and change regulation of wine distribution.",http://wei.secstate.wa.gov/osos/en/PreviousElections/2011/general/Documents/1183%20Full%20Text%20for%20VP.pdf,,,,,,
AllCounty.Measures_08_19_2011_01_03.xls,104957,Parks Levy,City of Connell,Proposition,1,Levy for Parks and Recreation Operations and Capital Improvements,"The City of Connell Council adopted Ordinance No. 898 asking voters to increase property taxes to finance parks and recreation operations and facility improvements. This proposition would increase the City's regular property tax levy by $0.40 per $1,000 over the current levy of assessed valuation for collection beginning in 2012 and use the 2012 levy amount to recalculate subsequent levy limits. ",,,,,,,
AllCounty.Measures_08_19_2011_01_03.xls,105297,EMS Levy,City of Asotin,Proposition,1,EMS District 1 City of Asotin,"SHALL A SPECIAL LEVY BE COLLECTED IN 2012 OF THIRTY THOUSAND THREE HUNDRED SIXTY-NINE DOLLARS ($30,369.00) REQUIRING APPROXIMATELY FORTY CENTS  ($0.40) PER THOUSAND OF ASSESSED VALUATION FOR THE CITY OF ASOTIN TO PAY FOR EMERGENCY MEDICAL SERVICES. SPECIAL LEVY, YES_______  NO_______ ",,,,,,,
AllCounty.Measures_08_19_2011_01_03.xls,105301,EMS Levy,City of Clarkston,Proposition,1,EMS District 2 City of Clarkston,"CITY OF CLARKSTON, WASHINGTON EMERGENCY MEDICAL SERVICES EXCESS  TAX LEVY  The City Council of the City of Clarkston, Washington, adopted Resolution No. 2011-08 concerning a proposition to finance emergency medical services. This proposition, if approved, would permit maintenance and operation of Rescue One Emergency Medical Services through the levy of a special excess tax for collection in 2012 of $486,834 requiring approximately $1.27 per thousand dollars of assessed value (based on 100% of true and fair value).  Should this proposition be approved?     LEVY  YES ………..?        LEVY  NO …………?  ",,,,,,,
AllCounty.Measures_08_19_2011_01_03.xls,105305,EMS Levy,Asotin County,Proposition,1,Asotin County Fire Protection District No. 1 Emergency Medical Services Property Tax Levy,"PROPOSITION  Asotin County Fire Protection District No. 1 - Board of Commissioners – Proposition Authorizing Emergency Medical Services Property Tax Levy.  Shall Asotin County Fire Protection District No. 1 be authorized to impose regular emergency medical services property tax levies of fifty cents or less per thousand dollars of assessed valuation for each of six consecutive years beginning in 2011 for collection in 2012 for the purpose of providing, maintaining and upgrading emergency medical services in the District. YES  _____  NO _____ ",,,,,,,
AllCounty.Measures_08_19_2011_01_03.xls,105249,Street Levy,City of Palouse,Proposition,1,City of Palouse,"For the purpose of funding street improvements and street oiling, the City Council of the City of Palouse proposes, pursuant to RCW 84.52.052, to impose an excess property tax levy upon all taxable property within the City in the amount of $40,000.00, an estimated $0.83 per $1,000.00, of assessed value in the year 2011 for collection in 2012, as provided in Resolution 2011-06.  Should this proposition be approved? ",,,,,,,
AllCounty.Measures_08_19_2011_01_03.xls,105237,Street Levy,City of Newport,Proposition,1,CITY OF NEWPORT PROPERTY TAX LEVY LID LIFT DEDICATED TO STREET PRESERVATION AND REPAIR,"PROPOSITION NO. 1  CITY OF NEWPORT PROPERTY TAX LEVY LID LIFT DEDICATED TO STREET PRESERVATION AND REPAIR  The Newport City Council adopted Resolution No. 80111 concerning a proposition to increase its regular property tax levy. If approved, this proposition would authorize the City to increase its regular property levy rate from its current level of $1.96 cents to a rate of $2.50 cents per $1,000 of assessed value for collection in 2012 and thereafter, which amount will be used for computing legal limits on levies in subsequent years pursuant to RCW Chapter 84.55, and the additional funds can only be used for street preservation and repair.  Should this proposition be:  ",,,,,,,
AllCounty.Measures_08_19_2011_01_03.xls,105221,Water/Sewer Levy,Pend Oreille County,Proposition,1,SACHEEN LAKE SEWER AND WATER DISTRICT ONE YEAR EXCESS LEVY FOR MAINTENANCE AND OPERATION,"Shall the following taxes, in excess of regular, non voted property tax levies, for operation and maintenance purposes be levied for Sacheen Lake Water and Sewer District's General Fund upon all taxable property within the District;  A tax of approximately $ 0.85 per thousand dollars of assessed valuation (based on true and fair value) to provide $60,545.00, said levy to be made in 2011 for collection in 2012. ",,,,,,,
AllCounty.Measures_08_19_2011_01_03.xls,105241,School Levy,Pend Oreille County,Proposition,1,SELKIRK SCHOOL DISTRICT NO. 70 CAPITAL LEVY FOR SCHOOL EXPANSION AND CONSOLIDATION,"The Board of Directors of Selkirk School District No. 70 adopted Resolution No. 10-11/09, concerning a proposition to finance school expansion and consolidation.  This proposition would authorize the District, as Phase I of a two phase project, to expand Selkirk Junior-Senior High School to consolidate Grades K-12 including constructing additional classrooms and new roof from the cafeteria to the south classrooms and levy the following excess taxes, on all taxable property within the District:  Approximate Levy Rate/$1,000 Collection Year  Assessed Value  Levy Amount 2012   $2.88               $750,000 2013   $2.88               $750,000  all as provided in Resolution No. 10-11/09.  Should this Phase I proposition be approved?",,,,,,,
AllCounty.Measures_08_19_2011_01_03.xls,105197,Hospital Levy,Douglas County,Proposition,1,HOSPITAL DISTRICT ONE YEAR EXCESS LEVY,"The Douglas County Hospital District No.2 (Waterville Clinic and Ambulance) Board of Commissioners adopted Resolution #60 on July 20, 2011, containing a proposition to finance maintenance and operation. This proposition would authorize the district to levy excess taxes upon all taxable property within the district in the sum of $65,000, requiring collection of approximately $0.40 per $1,000 of assessed valuation in 2012. Should this proposition be approved?",,,,,,,
AllCounty.Measures_08_19_2011_01_03.xls,105285,Current Expense Levy,Town of Farmington,Proposition,10,Town of Farmington,"Shall the Town of Farmington levy a special tax of $15,000, an estimated $2.40, per $1,000  of the 2011 assessed valuation, for Current Expense Fund, for collection in 2012 be approved?",,,,,,,
AllCounty.Measures_08_19_2011_01_03.xls,105289,Special Eqpt Levy,Town of Farmington,Proposition,11,Town of Farmington,"Shall the Town of Farmington levy a special tax of $5,000, an estimated $0.93, per one thousand dollars of the 2011 assessed valuation, for Special Equipment Fund, for collection in 2012, be approved?",,,,,,,
AllCounty.Measures_08_19_2011_01_03.xls,105293,Criminal Justice Levy,Franklin County,Proposition,2,Proposition No. 1," The Board of Franklin County Commissioners adopted Resolution No. 2011-____, concerning a proposition for a county and cities’ criminal justice and public purposes sales and use tax. This proposition would authorize the sales and use tax in Franklin County and Cities therein be increased three-tenths of one percent (0.3%) for thirty years to improve, expand, operate, and maintain the County jail, and support criminal justice or public purposes as permitted bv law. Should this proposition be approved?",,,,,,,
AllCounty.Measures_08_19_2011_01_03.xls,105253,Swimming Pool Levy,City of Palouse,Proposition,2,City of Palouse,"For the purpose of funding the operation and maintenance of the swimming pool, the City Council of the City of Palouse proposes, pursuant to RCW 84.52.052, to impose an excess property tax levy upon all taxable property within the City in the amount of $28,000.00 an estimated $0.58 per $1,000.00, of assessed value in the year 2011 for collection in 2012, as provided by Resolution 2011-07.  Should this proposition be approved? ",,,,,,,
AllCounty.Measures_08_19_2011_01_03.xls,105217,Dissolve Water Dist.,Pend Oreille County,Proposition,2,PROPOSITION WHETHER OR NOT THE DISTRICT SHOULD BE DISINCORPORATED,Resolution No. 11-04  PROPOSITION NO. 2  For Dissolution of Sacheen Lake Water and Sewer District ______  Against Dissolution of Sacheen Lake Water and Sewer District______ ,,,,,,,
AllCounty.Measures_08_19_2011_01_03.xls,105225,Mosquito District,Town of Waterville,Proposition,2,Resolution No. CE 11-38B ,"MOSQUITO CONTROL DISTRICT FORMATION  Shall a mosquito control district be established for the area described in Resolution No. CE 11-38B adopted on August 8, 2011, by the Board of County Commissioners?     YES  _____   NO  _____   ",,,,,,,
AllCounty.Measures_08_19_2011_01_03.xls,105257,EMS Levy,City of Palouse,Proposition,3,City of Palouse,“Shall the City of Palouse be authorized to impose an additional property tax levy in the amount of fifty cents (.50) per thousand dollars of assessed valuation for each of six (6) consecutive years for provision of emergency medical services?”,,,,,,,
AllCounty.Measures_08_19_2011_01_03.xls,105229,Mosquito Levy,Town of Waterville,Proposition,3,MOSQUITO CONTROL DISTRICT ONE YEAR LEVY,"MOSQUITO CONTROL DISTRICT ONE YEAR LEVY  Shall the mosquito control district, if formed, levy a general tax of twenty-five cents ($0.25) per thousand dollars of assessed value for one year upon all taxable property within the district in excess of constitutional and/or statutory tax limits for authorized purposes of the district?    LEVY YES ______  LEVY NO _______  ",,,,,,,
AllCounty.Measures_08_19_2011_01_03.xls,105261,Street Levy,City of Tekoa,Proposition,4,City of Tekoa,"Shall the City of Tekoa levy a special tax in the amount of $50,000.00, an estimated $2.19 per one thousand dollars of assessed valuation, for collection in 2012, for operation and maintenance in the Street Department?",,,,,,,
AllCounty.Measures_08_19_2011_01_03.xls,105233,Cemetary Dist.,Douglas County,Proposition,4,ONE YEAR MAINTENANCE AND OPERATIONS EXCESS TAX LEVY,"ONE YEAR MAINTENANCE AND OPERATIONS EXCESS TAX LEVY  The Douglas County Cemetery District No. 2 Board of Commissioners adopted Resolution #2011/002 on August 8, 2011, containing a proposition to finance maintenance and operations.  This proposition would authorize the district to levy excess taxes upon all taxable property within the district in the sum of $70,000, requiring collection of approximately $0.53 per $1,000 of assessed valuation in 2012.  Should this proposition be approved?    YES . . . .  _____    NO   . . . .  _____  ",,,,,,,
